chapter,hs6_code,description,source_file
10,100620,Husked (brown) rice,0210_2022e.pdf
10,100630,"Semi-milled or wholly milled rice, whether or not polished or",0210_2022e.pdf
10,100640,Broken rice,0210_2022e.pdf
10,100710,Seed,0210_2022e.pdf
10,100790,Other,0210_2022e.pdf
10,100810,Buckwheat,0210_2022e.pdf
10,100821,Seed,0210_2022e.pdf
10,100829,Other,0210_2022e.pdf
10,100830,Canary seeds,0210_2022e.pdf
10,100840,Fonio (Digitaria spp.),0210_2022e.pdf
10,100850,Quinoa (Chenopodium quinoa),0210_2022e.pdf
10,100860,Triticale,0210_2022e.pdf
10,100890,Other cereals,0210_2022e.pdf
11,110100,Wheat or meslin flour,0211_2022e.pdf
11,110220,Maize (corn) flour,0211_2022e.pdf
11,110290,Other,0211_2022e.pdf
11,110311,Of wheat,0211_2022e.pdf
11,110313,Of maize (corn),0211_2022e.pdf
11,110319,Of other cereals,0211_2022e.pdf
11,110320,Pellets,0211_2022e.pdf
11,110412,Of oats,0211_2022e.pdf
11,110419,Of other cereals,0211_2022e.pdf
11,110422,Of oats,0211_2022e.pdf
11,110423,Of maize (corn),0211_2022e.pdf
11,110429,Of other cereals,0211_2022e.pdf
11,110430,"Germ of cereals, whole, rolled, flaked or ground",0211_2022e.pdf
11,110510,"Flour, meal and powder",0211_2022e.pdf
11,110520,"Flakes, granules and pellets",0211_2022e.pdf
11,110610,Of the dried leguminous vegetables of heading 07.13,0211_2022e.pdf
07,110620,Of sago or of roots or tubers of heading 07.14,0211_2022e.pdf
11,110630,Of the products of Chapter 8,0211_2022e.pdf
11,110710,Not roasted,0211_2022e.pdf
11,110720,Roasted,0211_2022e.pdf
11,110811,Wheat starch,0211_2022e.pdf
11,110812,Maize (corn) starch,0211_2022e.pdf
11,110813,Potato starch,0211_2022e.pdf
11,110814,Manioc (cassava) starch,0211_2022e.pdf
11,110819,Other starches,0211_2022e.pdf
11,110820,Inulin,0211_2022e.pdf
11,110900,"Wheat gluten, whether or not dried",0211_2022e.pdf
